Make,Model,Variant
Tata,Nano Genx,Xt
Tata,Nano Genx,Xt
Tata,Nano Genx,Xt
Tata,Nano Genx,Xe
Tata,Nano Genx,Emax Xm
Tata,Nano Genx,Xta
Tata,Nano Genx,Xm
Tata,Nano Genx,Xma
Datsun,Redi-Go,D
Datsun,Redi-Go,T
Datsun,Redi-Go,A
Datsun,Redi-Go,S
Datsun,Redi-Go,1.0 S
Datsun,Redi-Go,1.0 S Amt
Renault,Kwid,Rxe 0.8
Renault,Kwid,Std 0.8
Renault,Kwid,Rxl 0.8
Renault,Kwid,Rxt 0.8
Renault,Kwid,Rxt 1.0
Renault,Kwid,Climber 1.0 Mt
Renault,Kwid,Rxt Amt 1.0
Renault,Kwid,Climber Amt 1.0
Renault,Kwid,Rxt (O) 1.0
Renault,Kwid,Rxt (O) Amt 1.0
Renault,Kwid,Climber (O) Mt 1.0
Renault,Kwid,Climber (O) Amt 1.0
Maruti Suzuki,Eeco,5 Str
Maruti Suzuki,Eeco,7 Str
Maruti Suzuki,Eeco,5 Str With Ac+Htr
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng
Maruti Suzuki,Eeco,5 Str With Htr Cng
Maruti Suzuki,Alto K10,Lxi
Maruti Suzuki,Alto K10,Vxi
Maruti Suzuki,Alto K10,Lx
Maruti Suzuki,Alto K10,Vxi (O)
Maruti Suzuki,Alto K10,Lxi Cng (O)
Maruti Suzuki,Alto K10,Vxi Amt (O)
Datsun,Go,D
Datsun,Go,T
Datsun,Go,T (O)
Datsun,Go,A (O)
Datsun,Go,A
Datsun,Go,T Vdc
Datsun,Go,T (O) Vdc
Datsun,Go,T Cvt
Datsun,Go,T (O) Cvt
Maruti Suzuki,Celerio Tour,H2
Maruti Suzuki,Celerio Tour,H2 Cng
Hyundai,Santro,Era Mt
Hyundai,Santro,Magna Mt
Hyundai,Santro,Magna Mt Cng
Hyundai,Santro,Magna Amt
Hyundai,Santro,Sportz Mt
Hyundai,Santro,Sportz Mt Cng
Hyundai,Santro,Sportz Amt
Hyundai,Santro,Asta Mt
Tata,Tiago,Revotron Xe
Tata,Tiago,Revotron Xt
Tata,Tiago,Revotron Xz
Tata,Tiago,Revotron Xz Plus
Tata,Tiago,Revotron Xz Plus Dual Tone
Tata,Tiago,Revotron Xza
Tata,Tiago,Revotron Xza Plus
Tata,Tiago,Revotron Xza Plus Dual Tone
Maruti Suzuki,Celerio X,Vxi (O)
Maruti Suzuki,Celerio X,Vxi
Maruti Suzuki,Celerio X,Vxi Amt
Maruti Suzuki,Celerio X,Vxi Amt (O)
Maruti Suzuki,Celerio X,Zxi
Maruti Suzuki,Celerio X,Zxi (O)
Maruti Suzuki,Celerio X,Zxi Amt
Maruti Suzuki,Celerio X,Zxi Amt (O)
Maruti Suzuki,Ignis,Alpha 1.2 Amt
Maruti Suzuki,Ignis,Alpha 1.2 Mt
Maruti Suzuki,Ignis,Delta 1.2 Amt
Maruti Suzuki,Ignis,Delta 1.2 Mt
Maruti Suzuki,Ignis,Sigma 1.2 Mt
Maruti Suzuki,Ignis,Zeta 1.2 Amt
Maruti Suzuki,Ignis,Zeta 1.2 Mt
Renault,Triber,Rxe
Renault,Triber,Rxl
Renault,Triber,Rxt
Renault,Triber,Rxz
Premier,Rio,Gx
Premier,Rio,Ex
Premier,Rio,Glx
Premier,Rio,Dx
Premier,Rio,Lx
Premier,Rio,Crdi4
Toyota,Etios Liva,G
Toyota,Etios Liva,V
Toyota,Etios Liva,Gd
Toyota,Etios Liva,Vx
Toyota,Etios Liva,Vxd
Toyota,Etios Liva,Vd
Toyota,Etios Liva,Dual Tone V
Toyota,Etios Liva,Dual Tone Vd
Toyota,Etios Liva,Dual Tone Vx
Toyota,Etios Liva,Dual Tone Vxd
Toyota,Etios Liva,Gx
Toyota,Etios Liva,Gxd
